property_id;scenario;feature;feature_value;shap_value;effect
ID120;current;cat__settlement_type_Község;;0.01416864047755987;increase
ID121;current;building_area_m2;66.0;0.09640510516025362;increase
ID121;current;cat__county_Fejér vármegye;;0.044318053946287614;increase
ID121;current;condition;3;0.01959571241000501;increase
ID122;current;building_area_m2;156.0;-0.11417340126587779;decrease
ID122;current;cat__county_Fejér vármegye;;0.04669658050105644;increase
ID122;current;cat__settlement_type_Város;;0.011490140438005936;increase
ID123;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID123;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID123;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID124;current;building_area_m2;101.0;-0.1086153824876719;decrease
ID124;current;cat__county_Fejér vármegye;;-0.03566034049663054;decrease
ID124;current;condition;3;-0.0302990019516235;decrease
ID125;current;cat__county_Fejér vármegye;;-0.05516262605978641;decrease
ID125;current;building_area_m2;57.0;-0.03726236079260724;decrease
ID125;current;cat__settlement_type_Város;;-0.016815276746763117;decrease
ID126;current;building_area_m2;54.0;0.05050690626731602;increase
ID126;current;cat__county_Csongrád-Csanád vármegye;;0.014618920815899999;increase
ID126;current;condition;3;0.010080103641616045;increase
ID127;current;cat__county_Fejér vármegye;;-0.06532684187721832;decrease
ID127;current;condition;2;-0.04566662931730819;decrease
ID127;current;building_area_m2;39.0;-0.037127018852666345;decrease
ID128;current;cat__county_Fejér vármegye;;0.03051147350674666;increase
ID128;current;condition;2;0.021802203578379087;increase
ID128;current;cat__settlement_type_Város;;0.015516295773211954;increase
ID129;current;cat__county_Fejér vármegye;;0.06439936253762245;increase
ID129;current;building_area_m2;166.0;-0.03141607541138079;decrease
ID129;current;condition;3;0.013822294632015043;increase
ID130;current;building_area_m2;50.0;0.11568257509076746;increase
ID130;current;cat__settlement_type_Község;;0.02269527448879808;increase
ID130;current;cat__settlement_type_Város;;0.017790559498865027;increase
ID131;current;building_area_m2;50.0;0.11568257509076746;increase
ID131;current;cat__settlement_type_Község;;0.02269527448879808;increase
ID131;current;cat__settlement_type_Város;;0.017790559498865027;increase
ID132;current;cat__settlement_type_Város;;0.046176925532831876;increase
ID132;current;cat__county_Fejér vármegye;;0.043074927187104865;increase
ID132;current;building_area_m2;115.0;0.03585854262449612;increase
ID133;current;building_area_m2;121.0;0.02868547053265864;increase
ID133;current;cat__county_Fejér vármegye;;0.02549157858328802;increase
ID133;current;cat__settlement_type_Város;;0.017946318447565803;increase
ID134;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID134;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID134;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID135;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID135;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID135;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID136;current;building_area_m2;40.0;0.05763583301658607;increase
ID136;current;cat__county_Fejér vármegye;;-0.03059065122666551;decrease
ID136;current;condition;3;0.021397930496418388;increase
ID137;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID137;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID137;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID138;current;cat__county_Fejér vármegye;;-0.08263916458860035;decrease
ID138;current;building_area_m2;46.0;-0.035849731287951214;decrease
ID138;current;cat__settlement_type_Nagyközség;;-0.012067396660178566;decrease
ID139;current;building_area_m2;69.0;0.01462787309283663;increase
ID139;current;cat__settlement_type_Nagyközség;;-0.010807057096242068;decrease
ID139;current;cat__county_Hajdú-Bihar vármegye;;0.009944892480650598;increase
ID140;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID140;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID140;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID141;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID141;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID141;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID142;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID142;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID142;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID143;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID143;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID143;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID144;current;cat__county_Fejér vármegye;;0.043691924983981764;increase
ID144;current;building_area_m2;109.0;-0.041635875596777686;decrease
