property_id;property_type;county;settlement_type;city;building_area_m2;land_area_m2;scenario;source_condition;target_condition;current_score;target_score;score_delta;current_factor;target_factor;factor_delta;current_value;target_value;value_delta;value_delta_pct;ksh_baseline;ksh_source_level
ID352;Lakóház;Jász-Nagykun-Szolnok;község;Tiszapüspöki;47.0;861.5093724786511;2->5;2;5;0.596258;0.50368;-0.09257799999999994;1.038503;1.001472;-0.037031000000000036;7565497.0;7295723.0;-269774.0;-0.03565846368057512;7285000.0;city
ID353;Lakóház;Borsod-Abaúj-Zemplén;község;Borsodszirák;210.5519314165766;1002.907202034042;2->5;2;5;0.608017;0.629801;0.021784000000000026;1.043207;1.05192;0.00871299999999997;44261512.0;44631210.0;369698.0;0.008352584068976225;42428320.0;county_settlement
ID358;Lakóház;Borsod-Abaúj-Zemplén;község;Szalonna;175.0975071280358;406.5407135068137;2->5;2;5;0.316292;0.301193;-0.015099000000000029;0.926517;0.920477;-0.006040000000000045;32691129.0;32478030.0;-213099.0;-0.006518557373775619;35283899.0;county_settlement
ID363;Lakóház;Jász-Nagykun-Szolnok;község;Kengyel;47.0;535.4518351958546;2->5;2;5;0.681511;0.588933;-0.09257799999999994;1.072604;1.035573;-0.037030999999999814;9823564.0;9484407.0;-339157.0;-0.034524842511332955;9158608.0;county_settlement
ID367;Lakóház;Szabolcs-Szatmár-Bereg;község;Nyírgyulaj;80.0;663.8690318627823;2->5;2;5;0.544853;0.507252;-0.037600999999999996;1.017941;1.002901;-0.015039999999999942;12215296.0;12034812.0;-180484.0;-0.014775245724704502;12000000.0;city
ID371;Lakóház;Borsod-Abaúj-Zemplén;város;Alsózsolca;87.0;7281.056405471814;2->5;2;5;0.353965;0.424317;0.07035200000000003;0.941586;0.969727;0.02814099999999997;20397574.0;21007190.0;609616.0;0.02988669142712756;21663000.0;city
ID374;Lakóház;Heves;község;Pély;145.0;3854.578529112764;2->5;2;5;0.226602;0.408133;0.18153100000000003;0.890641;0.963253;0.07261200000000001;7232003.0;7821617.0;589614.0;0.0815284506933971;8120000.0;city
ID375;Lakóház;Pest;nagyközség;Valkó;84.0;648.193296056148;2->5;2;5;0.647783;0.694234;0.04645100000000002;1.059113;1.077694;0.01858099999999996;50293804.0;51176124.0;882320.0;0.017543314082983263;47486712.0;county_settlement
ID381;Lakóház;Nógrád;megyei jogú város;Salgótarján;61.9237351434243;5326.267899255076;2->5;2;5;0.433713;0.526765;0.09305200000000002;0.973485;1.010706;0.03722100000000006;10549324.0;10952669.0;403345.0;0.0382342034427988;10836654.0;city
ID414;Lakóház;Hajdú-Bihar;város;Berettyóújfalu;40.0;250.465383956317;2->5;2;5;0.666383;0.614973;-0.051409999999999956;1.066553;1.045989;-0.020564000000000027;14249152.0;13974416.0;-274736.0;-0.01928086667894342;13360000.0;city
ID421;Lakóház;Baranya;község;Dunaszekcső;116.0;1068.3062859126717;2->5;2;5;0.392475;0.406925;0.014449999999999963;0.95699;0.96277;0.005780000000000007;16451808.0;16551173.0;99365.0;0.0060397617088650685;17191200.0;county
ID431;Lakóház;Szabolcs-Szatmár-Bereg;város;Tiszavasvári;110.84974863092748;343.07955535674114;2->5;2;5;0.491261;0.490244;-0.0010169999999999901;0.996505;0.996097;-0.00040799999999996395;19662285.0;19654254.0;-8031.0;-0.00040844693279545077;19731255.0;city
ID432;Lakóház;Heves;város;Kisköre;98.0;4018.082544333023;2->5;2;5;0.407116;0.353452;-0.05366399999999999;0.962846;0.941381;-0.021464999999999956;12361023.0;12085448.0;-275575.0;-0.022293866777854873;12838000.0;city
ID433;Lakóház;Heves;község;Halmajugra;54.0;1360.3630139735906;2->5;2;5;0.480575;0.451605;-0.028969999999999996;0.99223;0.980642;-0.011587999999999932;4018532.0;3971600.0;-46932.0;-0.011678891694778093;4050000.0;city
ID440;Lakás;Borsod-Abaúj-Zemplén;megyei jogú város;Miskolc;50.846306343360105;0.0;2->5;2;5;0.173869;0.637747;0.46387799999999996;0.869548;1.055099;0.18555100000000002;17994810.0;21834684.0;3839874.0;0.21338786016634798;20694447.0;city
ID452;Lakóház;Békés;község;Magyarbánhegyes;52.0;2391.5417207151745;2->5;2;5;0.50266;0.568745;0.06608499999999995;1.001064;1.027498;0.02643400000000007;6430550.0;6600355.0;169805.0;0.026405983936055238;6423716.0;county_settlement
ID472;Lakóház;Fejér;nagyközség;Sárosd;191.0;711.4921395601237;2->5;2;5;0.481378;0.514715;0.03333700000000006;0.992551;1.005886;0.013335000000000097;37536301.0;38040603.0;504302.0;0.013435047848747803;37818000.0;city
ID473;Lakóház;Pest;község;Tápióság;45.61233390213252;952.5619898748976;2->5;2;5;0.421206;0.505348;0.084142;0.968482;1.002139;0.03365699999999994;14798537.0;15312820.0;514283.0;0.03475228666185042;15280132.0;city
ID475;Lakóház;Fejér;nagyközség;Nagyvenyim;172.0;1007.397204532386;2->5;2;5;0.283486;0.321147;0.037661;0.913394;0.928459;0.015064999999999995;59699458.0;60684059.0;984601.0;0.01649262879405036;65360000.0;city
